serviceId; commandId; sensorType; sensorTypes; time; packageNumber; volt; chargeCurrent; battPercent; temperature; hallData; earSide; roleState; wearDetect; knockDetect; knockScore; movementDetect; touchEvent; earSideDetect; accelDataLen; accelData; accTimeStamp; gyroDataLen; gyroData; capSensorDataLen; capSensorData; capRawData
43;48;22;[ACC, GYRO, PROX];22095;10;3773;0;37;30;0;2;1;1;0;0;0;[0, 0, 0, 0];0;0;[Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}];0;0;[Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}];6;[197549, 1, 34751, 1, 75609, 1];[194713, 17354, 32987, 9583, 88636, 14406]
43;48;22;[ACC, GYRO, PROX];22186;11;3773;0;37;30;0;2;1;1;0;0;0;[0, 0, 0, 0];0;0;[Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}];0;0;[Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}];6;[196665, 1, 33409, 1, 75068, 1];[193830, 17272, 31645, 11308, 88095, 14368]
43;48;22;[ACC, GYRO, PROX];20137;10;3784;0;38;30;0;1;2;1;0;0;0;[0, 0, 0, 0];0;20;[Acc{x=-3439, y=2396, z=8}, Acc{x=-3418, y=2395, z=5}, Acc{x=-3415, y=2393, z=5}, Acc{x=-3421, y=2394, z=3}, Acc{x=-3428, y=2394, z=6}, Acc{x=-3431, y=2391, z=8}, Acc{x=-3435, y=2397, z=-1}, Acc{x=-3439, y=2406, z=1}, Acc{x=-3438, y=2409, z=4}, Acc{x=-3441, y=2410, z=2}, Acc{x=-3441, y=2417, z=6}, Acc{x=-3446, y=2429, z=6}, Acc{x=-3447, y=2435, z=-6}, Acc{x=-3443, y=2443, z=-7}, Acc{x=-3441, y=2447, z=-7}, Acc{x=-3441, y=2445, z=-1}, Acc{x=-3438, y=2447, z=5}, Acc{x=-3438, y=2444, z=4}, Acc{x=-3433, y=2444, z=-2}, Acc{x=-3434, y=2445, z=-10}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}];20120000;20;[Gyro{roll=-189, pitch=653, yaw=1763}, Gyro{roll=-250, pitch=714, yaw=1946}, Gyro{roll=-311, pitch=775, yaw=2068}, Gyro{roll=-372, pitch=836, yaw=2068}, Gyro{roll=-433, pitch=836, yaw=2190}, Gyro{roll=-433, pitch=836, yaw=2190}, Gyro{roll=-311, pitch=836, yaw=2129}, Gyro{roll=-372, pitch=836, yaw=2190}, Gyro{roll=-494, pitch=897, yaw=2373}, Gyro{roll=-494, pitch=836, yaw=2495}, Gyro{roll=-494, pitch=714, yaw=2495}, Gyro{roll=-433, pitch=714, yaw=2556}, Gyro{roll=-433, pitch=714, yaw=2434}, Gyro{roll=-494, pitch=714, yaw=2678}, Gyro{roll=-433, pitch=714, yaw=2556}, Gyro{roll=-494, pitch=836, yaw=2617}, Gyro{roll=-555, pitch=836, yaw=2861}, Gyro{roll=-433, pitch=714, yaw=2922}, Gyro{roll=-494, pitch=714, yaw=2983}, Gyro{roll=-494, pitch=714, yaw=2922}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}];6;[144655, 1, 1599, 0, 51592, 1];[138290, 16606, -7649, 17688, 55896, 8878]
43;48;22;[ACC, GYRO, PROX];22285;12;3773;0;37;30;0;2;1;1;0;0;0;[0, 0, 0, 0];0;0;[Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}];0;0;[Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}];6;[196595, 1, 33094, 1, 74517, 1];[193760, 17346, 31330, 11530, 87544, 14417]
43;48;22;[ACC, GYRO, PROX];22383;13;3773;0;37;30;0;2;1;1;0;0;0;[0, 0, 0, 0];0;0;[Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}];0;0;[Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}];6;[197491, 1, 33473, 1, 73658, 1];[194656, 17822, 31709, 11998, 86685, 14611]
43;48;22;[ACC, GYRO, PROX];20232;11;3784;0;38;30;0;1;2;1;0;0;0;[0, 0, 0, 0];0;20;[Acc{x=-3439, y=2451, z=-5}, Acc{x=-3447, y=2457, z=-5}, Acc{x=-3450, y=2456, z=0}, Acc{x=-3443, y=2457, z=-3}, Acc{x=-3436, y=2466, z=-12}, Acc{x=-3444, y=2472, z=-16}, Acc{x=-3445, y=2477, z=-13}, Acc{x=-3437, y=2476, z=-11}, Acc{x=-3429, y=2466, z=-13}, Acc{x=-3433, y=2473, z=-5}, Acc{x=-3436, y=2465, z=-6}, Acc{x=-3439, y=2468, z=-5}, Acc{x=-3444, y=2465, z=-5}, Acc{x=-3446, y=2462, z=-9}, Acc{x=-3457, y=2456, z=-8}, Acc{x=-3464, y=2449, z=-7}, Acc{x=-3467, y=2439, z=-7}, Acc{x=-3470, y=2430, z=-7}, Acc{x=-3463, y=2422, z=-11}, Acc{x=-3452, y=2429, z=-17}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}];20220000;20;[Gyro{roll=-555, pitch=714, yaw=2983}, Gyro{roll=-616, pitch=653, yaw=3105}, Gyro{roll=-494, pitch=592, yaw=3288}, Gyro{roll=-372, pitch=653, yaw=3288}, Gyro{roll=-494, pitch=714, yaw=3349}, Gyro{roll=-372, pitch=714, yaw=3471}, Gyro{roll=-372, pitch=653, yaw=3349}, Gyro{roll=-311, pitch=592, yaw=3288}, Gyro{roll=-311, pitch=592, yaw=3227}, Gyro{roll=-189, pitch=592, yaw=3105}, Gyro{roll=-189, pitch=653, yaw=2983}, Gyro{roll=-128, pitch=592, yaw=2922}, Gyro{roll=-67, pitch=653, yaw=2861}, Gyro{roll=-6, pitch=592, yaw=2678}, Gyro{roll=-6, pitch=592, yaw=2434}, Gyro{roll=55, pitch=714, yaw=2312}, Gyro{roll=177, pitch=775, yaw=2373}, Gyro{roll=177, pitch=897, yaw=2251}, Gyro{roll=177, pitch=958, yaw=2190}, Gyro{roll=177, pitch=958, yaw=2251}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}];6;[146951, 1, 691, 0, 52218, 1];[140586, 15442, -8539, 16958, 56521, 8764]
43;48;22;[ACC, GYRO, PROX];22473;14;3773;0;37;30;0;2;1;1;0;0;0;[0, 0, 0, 0];0;0;[Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}];0;0;[Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}];6;[197322, 1, 32958, 1, 73206, 1];[194487, 17513, 31194, 11759, 86233, 14421]
43;48;22;[ACC, GYRO, PROX];20339;12;3784;0;38;30;0;1;2;1;0;0;0;[0, 0, 0, 0];0;20;[Acc{x=-3445, y=2424, z=-19}, Acc{x=-3431, y=2424, z=-19}, Acc{x=-3430, y=2420, z=-14}, Acc{x=-3424, y=2415, z=-26}, Acc{x=-3422, y=2416, z=-26}, Acc{x=-3420, y=2424, z=-24}, Acc{x=-3422, y=2423, z=-25}, Acc{x=-3420, y=2427, z=-23}, Acc{x=-3415, y=2433, z=-24}, Acc{x=-3418, y=2439, z=-23}, Acc{x=-3421, y=2427, z=-17}, Acc{x=-3422, y=2421, z=-16}, Acc{x=-3416, y=2414, z=-11}, Acc{x=-3416, y=2412, z=-14}, Acc{x=-3417, y=2413, z=-18}, Acc{x=-3422, y=2413, z=-19}, Acc{x=-3423, y=2406, z=-19}, Acc{x=-3413, y=2396, z=-21}, Acc{x=-3411, y=2387, z=-21}, Acc{x=-3405, y=2387, z=-21}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}];20320000;20;[Gyro{roll=177, pitch=897, yaw=1946}, Gyro{roll=238, pitch=836, yaw=1885}, Gyro{roll=177, pitch=836, yaw=1824}, Gyro{roll=116, pitch=836, yaw=1702}, Gyro{roll=177, pitch=897, yaw=1458}, Gyro{roll=116, pitch=836, yaw=1275}, Gyro{roll=-6, pitch=897, yaw=1031}, Gyro{roll=-128, pitch=1080, yaw=726}, Gyro{roll=-250, pitch=1141, yaw=604}, Gyro{roll=-372, pitch=1202, yaw=177}, Gyro{roll=-555, pitch=1263, yaw=-6}, Gyro{roll=-677, pitch=1385, yaw=-6}, Gyro{roll=-799, pitch=1385, yaw=-128}, Gyro{roll=-921, pitch=1324, yaw=-189}, Gyro{roll=-1043, pitch=1202, yaw=-250}, Gyro{roll=-1165, pitch=958, yaw=-311}, Gyro{roll=-1104, pitch=714, yaw=-372}, Gyro{roll=-1165, pitch=470, yaw=-433}, Gyro{roll=-1226, pitch=287, yaw=-494}, Gyro{roll=-1348, pitch=165, yaw=-555}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}];6;[145644, 1, 652, 0, 51393, 1];[139278, 17093, -8563, 16946, 55696, 8947]
43;48;22;[ACC, GYRO, PROX];22568;15;3773;0;37;30;0;2;1;1;0;0;0;[0, 0, 0, 0];0;0;[Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}];0;0;[Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}];6;[197188, 1, 32673, 1, 73021, 1];[194353, 17795, 31331, 11697, 86048, 14438]
43;48;22;[ACC, GYRO, PROX];20433;13;3784;0;38;30;0;1;2;1;0;0;0;[0, 0, 0, 0];0;20;[Acc{x=-3409, y=2394, z=-20}, Acc{x=-3411, y=2398, z=-22}, Acc{x=-3415, y=2408, z=-18}, Acc{x=-3427, y=2413, z=-14}, Acc{x=-3424, y=2420, z=-11}, Acc{x=-3423, y=2428, z=-16}, Acc{x=-3426, y=2433, z=-17}, Acc{x=-3432, y=2439, z=-18}, Acc{x=-3439, y=2441, z=-12}, Acc{x=-3450, y=2447, z=-2}, Acc{x=-3445, y=2446, z=-10}, Acc{x=-3445, y=2449, z=-6}, Acc{x=-3450, y=2449, z=-6}, Acc{x=-3459, y=2447, z=-9}, Acc{x=-3467, y=2445, z=-13}, Acc{x=-3470, y=2444, z=-15}, Acc{x=-3472, y=2447, z=-15}, Acc{x=-3473, y=2462, z=-16}, Acc{x=-3485, y=2479, z=-8}, Acc{x=-3499, y=2493, z=-7}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}, Acc{x=0, y=0, z=0}];20421000;20;[Gyro{roll=-1287, pitch=165, yaw=-616}, Gyro{roll=-1226, pitch=43, yaw=-738}, Gyro{roll=-1287, pitch=43, yaw=-738}, Gyro{roll=-1165, pitch=43, yaw=-860}, Gyro{roll=-1104, pitch=-18, yaw=-799}, Gyro{roll=-1165, pitch=-18, yaw=-982}, Gyro{roll=-921, pitch=43, yaw=-982}, Gyro{roll=-860, pitch=-79, yaw=-1043}, Gyro{roll=-921, pitch=104, yaw=-1165}, Gyro{roll=-738, pitch=43, yaw=-1287}, Gyro{roll=-738, pitch=104, yaw=-1165}, Gyro{roll=-616, pitch=104, yaw=-1348}, Gyro{roll=-494, pitch=104, yaw=-1470}, Gyro{roll=-494, pitch=165, yaw=-1348}, Gyro{roll=-433, pitch=43, yaw=-1348}, Gyro{roll=-250, pitch=43, yaw=-1226}, Gyro{roll=-189, pitch=104, yaw=-1348}, Gyro{roll=-67, pitch=-18, yaw=-1348}, Gyro{roll=116, pitch=-79, yaw=-1226}, Gyro{roll=238, pitch=-140, yaw=-1165}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}, Gyro{roll=0, pitch=0, yaw=0}];6;[144497, 1, 2047, 0, 51301, 1];[138132, 17461, -7135, 16921, 55605, 8916]
